SYMBOL,COMPANY_NAME,SECTOR
ACCURACY,Accuracy Shipping Limited,Nifty 50
ACE,Action Construction Equipment Limited,Nifty Realty
ACEINTEG,Ace Integrated Solutions Limited,Nifty IT
ACI,Archean Chemical Industries Limited,Nifty 50
ACL,Andhra Cements Limited,Nifty 50
ACLGATI,Allcargo Gati Limited,Nifty 50
ACMESOLAR,Acme Solar Holdings Limited,Nifty Energy
ACUTAAS,Acutaas Chemicals Limited,Nifty 50
ADANIENSOL,Adani Energy Solutions Limited,Nifty IT
ADANIENT,Adani Enterprises Limited,Nifty 50
ADANIGREEN,Adani Green Energy Limited,Nifty Energy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Nifty 50
ADANIPOWER,Adani Power Limited,Nifty Energy
ADFFOODS,ADF Foods Limited,Nifty FMCG
ADL,Archidply Decor Limited,Nifty 50
ADOR,Ador Welding Limited,Nifty 50
ADROITINFO,Adroit Infotech Limited,Nifty IT
ADSL,Allied Digital Services Limited,Nifty IT
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Nifty 50
ADVENZYMES,Advanced Enzyme Technologies Limited,Nifty IT
AEGISLOG,Aegis Logistics Limited,Nifty 50
AEGISVOPAK,Aegis Vopak Terminals Limited,Nifty 50
AEROENTER,Aeroflex Enterprises Limited,Nifty 50
AEROFLEX,Aeroflex Industries Limited,Nifty 50
AERONEU,Aeroflex Neu Limited,Nifty 50
AETHER,Aether Industries Limited,Nifty 50
AFCONS,Afcons Infrastructure Limited,Nifty Realty
AFFLE,Affle 3i Limited,Nifty 50
AFFORDABLE,Affordable Robotic & Automation Limited,Nifty Auto
AFIL,Akme Fintrade (India) Limited,Nifty 50
AFSL,Abans Financial Services Limited,Nifty Financial Services
AGARIND,Agarwal Industrial Corporation Limited,Nifty 50
AGARWALEYE,Dr. Agarwal's Health Care Limited,Nifty 50
AGI,AGI Greenpac Limited,Nifty 50
AGIIL,Agi Infra Limited,Nifty 50
AGRITECH,Agri-Tech (India) Limited,Nifty IT
AGROPHOS,Agro Phos India Limited,Nifty FMCG
AGSTRA,AGS Transact Technologies Limited,Nifty IT
AHCL,Anlon Healthcare Limited,Nifty Pharma
AHLADA,Ahlada Engineers Limited,Nifty 50
AHLEAST,Asian Hotels (East) Limited,Nifty 50
AHLUCONT,Ahluwalia Contracts (India) Limited,Nifty 50
AIAENG,AIA Engineering Limited,Nifty 50
AIIL,Authum Investment & Infrastructure Limited,Nifty Realty
AIRAN,Airan Limited,Nifty 50
AIROLAM,Airo Lam limited,Nifty 50
AJANTPHARM,Ajanta Pharma Limited,Nifty Pharma
AJAXENGG,Ajax Engineering Limited,Nifty 50
AJMERA,Ajmera Realty & Infra India Limited,Nifty Realty
AJOONI,Ajooni Biotech Limited,Nifty IT
AKASH,Akash Infra-Projects Limited,Nifty 50
AKG,Akg Exim Limited,Nifty 50
AKI,AKI India Limited,Nifty 50
AKSHAR,Akshar Spintex Limited,Nifty 50
AKSHARCHEM,AksharChem India Limited,Nifty 50
AKSHOPTFBR,Aksh Optifibre Limited,Nifty 50
AKUMS,Akums Drugs and Pharmaceuticals Limited,Nifty Pharma
AKZOINDIA,Akzo Nobel India Limited,Nifty 50
ALANKIT,Alankit Limited,Nifty 50
ALBERTDAVD,Albert David Limited,Nifty 50
ALEMBICLTD,Alembic Limited,Nifty 50
ALICON,Alicon Castalloy Limited,Nifty 50
ALIVUS,Alivus Life Sciences Limited,Nifty Pharma
ALKALI,Alkali Metals Limited,Nifty Metal
ALKEM,Alkem Laboratories Limited,Nifty Pharma
ALKYLAMINE,Alkyl Amines Chemicals Limited,Nifty 50
ALLCARGO,Allcargo Logistics Limited,Nifty 50
ALLDIGI,Alldigi Tech Limited,Nifty IT
ALLTIME,All Time Plastics Limited,Nifty 50
ALMONDZ,Almondz Global Securities Limited,Nifty Financial Services
ALOKINDS,Alok Industries Limited,Nifty 50
ALPA,Alpa Laboratories Limited,Nifty Pharma
ALPHAGEO,Alphageo (India) Limited,Nifty 50
ALPSINDUS,Alps Industries Limited,Nifty 50
AMANTA,Amanta Healthcare Limited,Nifty Pharma
AMBER,Amber Enterprises India Limited,Nifty 50
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Nifty 50
AMBIKCO,Ambika Cotton Mills Limited,Nifty 50
AMBUJACEM,Ambuja Cements Limited,Nifty 50
AMDIND,AMD Industries Limited,Nifty 50
AMJLAND,Amj Land Holdings Limited,Nifty Financial Services
AMNPLST,Amines & Plasticizers Limited,Nifty 50
AMRUTANJAN,Amrutanjan Health Care Limited,Nifty 50
ANANDRATHI,Anand Rathi Wealth Limited,Nifty 50
ANANTRAJ,Anant Raj Limited,Nifty 50
ANDHRAPAP,ANDHRA PAPER LIMITED,Nifty 50
ANDHRSUGAR,The Andhra Sugars Limited,Nifty 50
ANGELONE,Angel One Limited,Nifty 50
ANIKINDS,Anik Industries Limited,Nifty 50
ANKITMETAL,Ankit Metal & Power Limited,Nifty Energy
ANMOL,Anmol India Limited,Nifty 50
ANSALAPI,Ansal Properties & Infrastructure Limited,Nifty Realty
ANTELOPUS,Antelopus Selan Energy Limited,Nifty Energy
ANTGRAPHIC,Antarctica Limited,Nifty 50
ANTHEM,Anthem Biosciences Limited,Nifty 50
ANUHPHR,Anuh Pharma Limited,Nifty Pharma
ANUP,The Anup Engineering Limited,Nifty 50
ANURAS,Anupam Rasayan India Limited,Nifty 50
APARINDS,Apar Industries Limited,Nifty 50
APCL,Anjani Portland Cement Limited,Nifty 50
APCOTEXIND,Apcotex Industries Limited,Nifty 50
APEX,Apex Frozen Foods Limited,Nifty FMCG
APLAPOLLO,APL Apollo Tubes Limited,Nifty 50
APLLTD,Alembic Pharmaceuticals Limited,Nifty Pharma
APOLLO,Apollo Micro Systems Limited,Nifty IT
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Nifty 50
APOLLOPIPE,Apollo Pipes Limited,Nifty 50
APOLLOTYRE,Apollo Tyres Limited,Nifty Auto
APOLSINHOT,Apollo Sindoori Hotels Limited,Nifty 50
APTECHT,Aptech Limited,Nifty IT
APTUS,Aptus Value Housing Finance India Limited,Nifty Realty
ARCHIDPLY,Archidply Industries Limited,Nifty 50
ARCHIES,Archies Limited,Nifty 50
ARE&M,Amara Raja Energy & Mobility Limited,Nifty Energy
ARENTERP,Rajdarshan Industries Limited,Nifty 50
ARFIN,Arfin India Limited,Nifty 50
ARIES,Aries Agro Limited,Nifty FMCG
ARIHANTCAP,Arihant Capital Markets Limited,Nifty Financial Services
ARIHANTSUP,Arihant Superstructures Limited,Nifty 50
ARISINFRA,Arisinfra Solutions Limited,Nifty IT
ARKADE,Arkade Developers Limited,Nifty Realty
ARMANFIN,Arman Financial Services Limited,Nifty Financial Services
AROGRANITE,Aro Granite Industries Limited,Nifty 50
ARROWGREEN,Arrow Greentech Limited,Nifty IT
ARSHIYA,Arshiya Limited,Nifty 50
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Nifty 50
ARTEMISMED,Artemis Medicare Services Limited,Nifty 50
ARTNIRMAN,Art Nirman Limited,Nifty 50
ARVEE,Arvee Laboratories (India) Limited,Nifty Pharma
ARVIND,Arvind Limited,Nifty 50
ARVINDFASN,Arvind Fashions Limited,Nifty 50
ARVSMART,Arvind SmartSpaces Limited,Nifty 50
ASAHIINDIA,Asahi India Glass Limited,Nifty 50
ASAHISONG,Asahi Songwon Colors Limited,Nifty 50
ASAL,Automotive Stampings and Assemblies Limited,Nifty Auto
ASALCBR,Associated Alcohols & Breweries Ltd.,Nifty 50
ASHAPURMIN,Ashapura Minechem Limited,Nifty 50
ASHIANA,Ashiana Housing Limited,Nifty Realty
ASHIMASYN,Ashima Limited,Nifty 50
ASHOKA,Ashoka Buildcon Limited,Nifty 50
ASHOKAMET,Ashoka Metcast Limited,Nifty 50
ASHOKLEY,Ashok Leyland Limited,Nifty Auto
ASIANENE,Asian Energy Services Limited,Nifty Energy
ASIANHOTNR,Asian Hotels (North) Limited,Nifty 50
ASIANPAINT,Asian Paints Limited,Nifty 50
ASIANTILES,Asian Granito India Limited,Nifty 50
ASKAUTOLTD,ASK Automotive Limited,Nifty Auto
ASMS,Bartronics India Limited,Nifty 50
ASPINWALL,Aspinwall and Company Limited,Nifty 50
ASTEC,Astec LifeSciences Limited,Nifty Pharma
ASTERDM,Aster DM Healthcare Limited,Nifty Pharma
ASTRAL,Astral Limited,Nifty 50
ASTRAMICRO,Astra Microwave Products Limited,Nifty 50
ASTRAZEN,AstraZeneca Pharma India Limited,Nifty Pharma
ASTRON,Astron Paper & Board Mill Limited,Nifty 50
ATALREAL,Atal Realtech Limited,Nifty IT
ATAM,Atam Valves Limited,Nifty 50
ATGL,Adani Total Gas Limited,Nifty Energy
ATHERENERG,Ather Energy Limited,Nifty Energy
ATL,Allcargo Terminals Limited,Nifty 50
ATLANTAA,ATLANTAA LIMITED,Nifty 50
ATLANTAELE,Atlanta Electricals Limited,Nifty 50
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Nifty 50
ATUL,Atul Limited,Nifty 50
ATULAUTO,Atul Auto Limited,Nifty Auto
AUBANK,AU Small Finance Bank Limited,Nifty Private Bank
AURIONPRO,Aurionpro Solutions Limited,Nifty IT
AUROPHARMA,Aurobindo Pharma Limited,Nifty Pharma
AURUM,Aurum PropTech Limited,Nifty IT
AUSOMENT,Ausom Enterprise Limited,Nifty 50
AUTOAXLES,Automotive Axles Limited,Nifty Auto
AUTOIND,Autoline Industries Limited,Nifty Auto
AVADHSUGAR,Avadh Sugar & Energy Limited,Nifty Energy
AVALON,Avalon Technologies Limited,Nifty IT
AVANTEL,Avantel Limited,Nifty 50
AVANTIFEED,Avanti Feeds Limited,Nifty 50
AVG,AVG Logistics Limited,Nifty 50
AVL,Aditya Vision Limited,Nifty 50
AVONMORE,Avonmore Capital & Management Services Limited,Nifty Financial Services
AVROIND,AVRO INDIA LIMITED,Nifty 50
AVTNPL,AVT Natural Products Limited,Nifty 50
AWFIS,Awfis Space Solutions Limited,Nifty IT
AWHCL,Antony Waste Handling Cell Limited,Nifty 50
AWL,AWL Agri Business Limited,Nifty 50
AXISBANK,Axis Bank Limited,Nifty Private Bank
AXISCADES,AXISCADES Technologies Limited,Nifty IT
AXITA,Axita Cotton Limited,Nifty 50
AYMSYNTEX,AYM Syntex Limited,Nifty 50
AZAD,Azad Engineering Limited,Nifty 50
BAFNAPH,Bafna Pharmaceuticals Limited,Nifty Pharma
BAGFILMS,B.A.G Films and Media Limited,Nifty Media
BAIDFIN,Baid Finserv Limited,Nifty 50
BAJAJ-AUTO,Bajaj Auto Limited,Nifty Auto
BAJAJCON,Bajaj Consumer Care Limited,Nifty FMCG
BAJAJELEC,Bajaj Electricals Limited,Nifty 50
BAJAJFINSV,Bajaj Finserv Limited,Nifty 50
BAJAJHCARE,Bajaj Healthcare Limited,Nifty Pharma
BAJAJHFL,Bajaj Housing Finance Limited,Nifty Realty
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Nifty 50
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Nifty Financial Services
BAJAJINDEF,Indef Manufacturing Limited,Nifty 50
BAJEL,Bajel Projects Limited,Nifty 50
BAJFINANCE,Bajaj Finance Limited,Nifty Financial Services
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Nifty FMCG
BALAJITELE,Balaji Telefilms Limited,Nifty Media
BALAMINES,Balaji Amines Limited,Nifty 50
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Nifty Pharma
BALKRISHNA,Balkrishna Paper Mills Limited,Nifty 50
BALKRISIND,Balkrishna Industries Limited,Nifty Auto
BALMLAWRIE,Balmer Lawrie & Company Limited,Nifty 50
BALPHARMA,Bal Pharma Limited,Nifty Pharma
BALRAMCHIN,Balrampur Chini Mills Limited,Nifty 50
BALUFORGE,Balu Forge Industries Limited,Nifty 50
BANARBEADS,Banaras Beads Limited,Nifty 50
BANARISUG,Bannari Amman Sugars Limited,Nifty 50
BANCOINDIA,Banco Products (I) Limited,Nifty 50
BANDHANBNK,Bandhan Bank Limited,Nifty Private Bank
BANG,Bang Overseas Limited,Nifty 50
BANKA,Banka BioLoo Limited,Nifty Bank
BANKBARODA,Bank of Baroda,Nifty PSU Bank
BANKINDIA,Bank of India,Nifty PSU Bank
BANSALWIRE,Bansal Wire Industries Limited,Nifty 50
BANSWRAS,Banswara Syntex Limited,Nifty 50
BARBEQUE,Barbeque Nation Hospitality Limited,Nifty 50
BASF,BASF India Limited,Nifty 50
BASML,Bannari Amman Spinning Mills Limited,Nifty 50
BATAINDIA,Bata India Limited,Nifty 50
BAYERCROP,Bayer Cropscience Limited,Nifty 50
BBL,Bharat Bijlee Limited,Nifty 50
BBOX,Black Box Limited,Nifty 50
BBTC,Bombay Burmah Trading Corporation Limited,Nifty 50
BBTCL,B&B Triplewall Containers Limited,Nifty 50
BCG,Brightcom Group Limited,Nifty 50
BCLIND,Bcl Industries Limited,Nifty 50
BCONCEPTS,Brand Concepts Limited,Nifty 50
BDL,Bharat Dynamics Limited,Nifty 50
BEARDSELL,Beardsell Limited,Nifty 50
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Nifty 50
BEDMUTHA,Bedmutha Industries Limited,Nifty 50
BEL,Bharat Electronics Limited,Nifty 50
BELLACASA,Bella Casa Fashion & Retail Limited,Nifty 50
BELRISE,Belrise Industries Limited,Nifty 50
BEML,BEML Limited,Nifty 50
BEPL,Bhansali Engineering Polymers Limited,Nifty 50
BERGEPAINT,Berger Paints (I) Limited,Nifty 50
BESTAGRO,Best Agrolife Limited,Nifty FMCG
BFINVEST,BF Investment Limited,Nifty Financial Services
BFUTILITIE,BF Utilities Limited,Nifty 50
BGRENERGY,BGR Energy Systems Limited,Nifty IT
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Nifty 50
BHAGERIA,Bhageria Industries Limited,Nifty 50
BHAGYANGR,Bhagyanagar India Limited,Nifty 50
BHANDARI,Bhandari Hosiery Exports Limited,Nifty 50
BHARATFORG,Bharat Forge Limited,Nifty 50
BHARATGEAR,Bharat Gears Limited,Nifty 50
BHARATRAS,Bharat Rasayan Limited,Nifty 50
BHARATSE,Bharat Seats Limited,Nifty 50
BHARATWIRE,Bharat Wire Ropes Limited,Nifty 50
BHARTIARTL,Bharti Airtel Limited,Nifty 50
BHARTIHEXA,Bharti Hexacom Limited,Nifty 50
BHEL,Bharat Heavy Electricals Limited,Nifty 50
BIGBLOC,Bigbloc Construction Limited,Nifty Realty
BIKAJI,Bikaji Foods International Limited,Nifty FMCG
BIL,Bhartiya International Limited,Nifty 50
BILVYAPAR,BIL VYAPAR LIMITED,Nifty 50
BIOCON,Biocon Limited,Nifty Pharma
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Nifty Pharma
BIRLACABLE,Birla Cable Limited,Nifty 50
BIRLACORPN,Birla Corporation Limited,Nifty 50
BIRLAMONEY,Aditya Birla Money Limited,Nifty 50
BIRLANU,BirlaNu Limited,Nifty 50
BLACKBUCK,BLACKBUCK LIMITED,Nifty 50
BLAL,BEML Land Assets Limited,Nifty 50
BLBLIMITED,BLB Limited,Nifty 50
BLISSGVS,Bliss GVS Pharma Limited,Nifty Pharma
BLKASHYAP,B. L. Kashyap and Sons Limited,Nifty 50
BLS,BLS International Services Limited,Nifty 50
BLSE,BLS E-Services Limited,Nifty 50
BLUECOAST,Blue Coast Hotels Limited,Nifty 50
BLUEDART,Blue Dart Express Limited,Nifty 50
BLUEJET,Blue Jet Healthcare Limited,Nifty Pharma
BLUESTARCO,Blue Star Limited,Nifty 50
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Nifty 50
BLUSPRING,Bluspring Enterprises Limited,Nifty 50
BMWVENTLTD,BMW Ventures Limited,Nifty 50
BODALCHEM,Bodal Chemicals Limited,Nifty 50
BOHRAIND,Bohra Industries Limited,Nifty 50
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Nifty 50
BORANA,Borana Weaves Limited,Nifty 50
BOROLTD,Borosil Limited,Nifty 50
BORORENEW,BOROSIL RENEWABLES LIMITED,Nifty Energy
BOROSCI,Borosil Scientific Limited,Nifty 50
BOSCHLTD,Bosch Limited,Nifty 50
BPCL,Bharat Petroleum Corporation Limited,Nifty Energy
BPL,BPL Limited,Nifty 50
BRIGADE,Brigade Enterprises Limited,Nifty Realty
BRIGHOTEL,Brigade Hotel Ventures Limited,Nifty 50
BRITANNIA,Britannia Industries Limited,Nifty FMCG
BRNL,Bharat Road Network Limited,Nifty 50
BROOKS,Brooks Laboratories Limited,Nifty Pharma
BSE,BSE Limited,Nifty 50
BSHSL,Bombay Super Hybrid Seeds Limited,Nifty 50
BSL,BSL Limited,Nifty 50
BSOFT,BIRLASOFT LIMITED,Nifty 50
BTML,Bodhi Tree Multimedia Limited,Nifty Media
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Nifty 50
BVCL,Barak Valley Cements Limited,Nifty 50
BYKE,The Byke Hospitality Ltd,Nifty 50
CALSOFT,California Software Company Limited,Nifty IT
CAMLINFINE,Camlin Fine Sciences Limited,Nifty 50
CAMPUS,Campus Activewear Limited,Nifty 50
CAMS,Computer Age Management Services Limited,Nifty 50
CANBK,Canara Bank,Nifty PSU Bank
CANFINHOME,Can Fin Homes Limited,Nifty 50
CANTABIL,Cantabil Retail India Limited,Nifty 50
CAPACITE,Capacit'e Infraprojects Limited,Nifty 50
CAPITALSFB,Capital Small Finance Bank Limited,Nifty Bank
CAPLIPOINT,Caplin Point Laboratories Limited,Nifty Pharma
CAPTRUST,Capital Trust Limited,Nifty Financial Services
CARBORUNIV,Carborundum Universal Limited,Nifty 50
CARERATING,CARE Ratings Limited,Nifty 50
CARRARO,Carraro India Limited,Nifty 50
CARTRADE,Cartrade Tech Limited,Nifty IT
CARYSIL,CARYSIL LIMITED,Nifty 50
CASTROLIND,Castrol India Limited,Nifty 50
CCCL,Consolidated Construction Consortium Limited,Nifty Realty
CCHHL,Country Club Hospitality & Holidays Limited,Nifty 50
CCL,CCL Products (India) Limited,Nifty 50
CDSL,Central Depository Services (India) Limited,Nifty 50
CEATLTD,CEAT Limited,Nifty Auto
CEIGALL,Ceigall India Limited,Nifty 50
CELEBRITY,Celebrity Fashions Limited,Nifty 50
CELLO,Cello World Limited,Nifty 50
CEMPRO,Cemindia Projects Limited,Nifty 50
CENTENKA,Century Enka Limited,Nifty 50
CENTEXT,Century Extrusions Limited,Nifty 50
CENTRALBK,Central Bank of India,Nifty PSU Bank
CENTRUM,Centrum Capital Limited,Nifty Financial Services
CENTUM,Centum Electronics Limited,Nifty 50
CENTURYPLY,Century Plyboards (India) Limited,Nifty 50
CERA,Cera Sanitaryware Limited,Nifty 50
CEREBRAINT,Cerebra Integrated Technologies Limited,Nifty IT
CESC,CESC Limited,Nifty 50
CEWATER,Concord Enviro Systems Limited,Nifty IT
CGCL,Capri Global Capital Limited,Nifty Financial Services
CGPOWER,CG Power and Industrial Solutions Limited,Nifty IT
CHALET,Chalet Hotels Limited,Nifty 50
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Nifty 50
CHEMBOND,Chembond Material Technologies Limited,Nifty IT
CHEMBONDCH,Chembond Chemicals Limited,Nifty 50
CHEMCON,Chemcon Speciality Chemicals Limited,Nifty 50
CHEMFAB,Chemfab Alkalis Limited,Nifty 50
CHEMPLASTS,Chemplast Sanmar Limited,Nifty 50
CHENNPETRO,Chennai Petroleum Corporation Limited,Nifty Energy
CHEVIOT,Cheviot Company Limited,Nifty 50
CHOICEIN,Choice International Limited,Nifty 50
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Nifty Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Nifty Financial Services
CIEINDIA,CIE Automotive India Limited,Nifty Auto
CIFL,Capital India Finance Limited,Nifty Financial Services
CIGNITITEC,Cigniti Technologies Limited,Nifty IT
CINELINE,Cineline India Limited,Nifty 50
CINEVISTA,Cinevista Limited,Nifty 50
CIPLA,Cipla Limited,Nifty Pharma
CLEAN,Clean Science and Technology Limited,Nifty IT
CLEDUCATE,CL Educate Limited,Nifty 50
CLSEL,Chaman Lal Setia Exports Limited,Nifty 50
CMSINFO,CMS Info Systems Limited,Nifty IT
COALINDIA,Coal India Limited,Nifty Metal
COASTCORP,Coastal Corporation Limited,Nifty 50
COCHINSHIP,Cochin Shipyard Limited,Nifty 50
COFFEEDAY,Coffee Day Enterprises Limited,Nifty 50
COFORGE,Coforge Limited,Nifty IT
COHANCE,Cohance Lifesciences Limited,Nifty Pharma
COLPAL,Colgate Palmolive (India) Limited,Nifty FMCG
COMPINFO,Compuage Infocom Limited,Nifty 50
COMPUSOFT,Compucom Software Limited,Nifty IT
COMSYN,Commercial Syn Bags Limited,Nifty 50
CONCOR,Container Corporation of India Limited,Nifty 50
CONCORDBIO,Concord Biotech Limited,Nifty IT
CONFIPET,Confidence Petroleum India Limited,Nifty Energy
CONSOFINVT,Consolidated Finvest & Holdings Limited,Nifty Financial Services
CONTROLPR,Control Print Limited,Nifty 50
CORALFINAC,Coral India Finance & Housing Limited,Nifty Realty
CORDSCABLE,Cords Cable Industries Limited,Nifty 50
COROMANDEL,Coromandel International Limited,Nifty 50
COSMOFIRST,COSMO FIRST LIMITED,Nifty 50
COUNCODOS,Country Condo's Limited,Nifty 50
CPCAP,CP Capital Limited,Nifty Financial Services
CPEDU,Career Point Edutech Limited,Nifty IT
CPPLUS,Aditya Infotech Limited,Nifty IT
CRAFTSMAN,Craftsman Automation Limited,Nifty Auto
CREATIVE,Creative Newtech Limited,Nifty IT
CREATIVEYE,Creative Eye Limited,Nifty 50
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Nifty 50
CREST,Crest Ventures Limited,Nifty 50
CRISIL,CRISIL Limited,Nifty 50
CRIZAC,Crizac Limited,Nifty 50
CROMPTON,Crompton Greaves Consumer Electricals Limited,Nifty FMCG
CROWN,Crown Lifters Limited,Nifty 50
CSBBANK,CSB Bank Limited,Nifty Bank
CSLFINANCE,CSL Finance Limited,Nifty Financial Services
CTE,Cambridge Technology Enterprises Limited,Nifty IT
CUB,City Union Bank Limited,Nifty Bank
CUBEXTUB,Cubex Tubings Limited,Nifty 50
CUMMINSIND,Cummins India Limited,Nifty 50
CUPID,Cupid Limited,Nifty 50
CURAA,Cura Technologies Limited,Nifty IT
CYBERMEDIA,Cyber Media (India) Limited,Nifty IT
CYBERTECH,Cybertech Systems And Software Limited,Nifty IT
CYIENT,Cyient Limited,Nifty IT
CYIENTDLM,Cyient DLM Limited,Nifty IT
DABUR,Dabur India Limited,Nifty FMCG
DALBHARAT,Dalmia Bharat Limited,Nifty 50
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Nifty 50
DAMCAPITAL,Dam Capital Advisors Limited,Nifty Financial Services
DAMODARIND,Damodar Industries Limited,Nifty 50
DANGEE,Dangee Dums Limited,Nifty 50
DATAMATICS,Datamatics Global Services Limited,Nifty IT
DATAPATTNS,Data Patterns (India) Limited,Nifty IT
DAVANGERE,Davangere Sugar Company Limited,Nifty 50
DBCORP,D.B.Corp Limited,Nifty 50
DBEIL,Deepak Builders & Engineers India Limited,Nifty Realty
DBL,Dilip Buildcon Limited,Nifty 50
DBOL,Dhampur Bio Organics Limited,Nifty 50
DBREALTY,Valor Estate Limited,Nifty 50
DBSTOCKBRO,DB (International) Stock Brokers Limited,Nifty 50
DCAL,Dishman Carbogen Amcis Limited,Nifty 50
DCBBANK,DCB Bank Limited,Nifty Private Bank
DCI,Dc Infotech And Communication Limited,Nifty IT
DCM,DCM  Limited,Nifty 50
DCMFINSERV,DCM Financial Services Limited,Nifty Financial Services
DCMNVL,DCM Nouvelle Limited,Nifty 50
DCMSHRIRAM,DCM Shriram Limited,Nifty 50
DCMSRIND,DCM Shriram Industries Limited,Nifty 50
DCW,DCW Limited,Nifty 50
DCXINDIA,DCX Systems Limited,Nifty IT
DDEVPLSTIK,Ddev Plastiks Industries Limited,Nifty 50
DECCANCE,Deccan Cements Limited,Nifty 50
DEEDEV,DEE Development Engineers Limited,Nifty 50
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Nifty Energy
DEEPAKNTR,Deepak Nitrite Limited,Nifty 50
DEEPINDS,Deep Industries Limited,Nifty 50
DELHIVERY,Delhivery Limited,Nifty 50
DELPHIFX,DELPHI WORLD MONEY LIMITED,Nifty 50
DELTACORP,Delta Corp Limited,Nifty 50
DELTAMAGNT,Delta Manufacturing Limited,Nifty 50
DEN,Den Networks Limited,Nifty 50
DENORA,De Nora India Limited,Nifty 50
DENTA,Denta Water and Infra Solutions Limited,Nifty IT
DEVIT,Dev Information Technology Limited,Nifty IT
DEVX,Dev Accelerator Limited,Nifty 50
DEVYANI,Devyani International Limited,Nifty 50
DGCONTENT,Digicontent Limited,Nifty 50
DHAMPURSUG,Dhampur Sugar Mills Limited,Nifty 50
DHANBANK,Dhanlaxmi Bank Limited,Nifty Bank
DHANI,Dhani Services Limited,Nifty 50
DHANUKA,Dhanuka Agritech Limited,Nifty IT
DHARAN,DHARAN INFRA-EPC LIMITED,Nifty 50
DHARMAJ,Dharmaj Crop Guard Limited,Nifty 50
DHRUV,Dhruv Consultancy Services Limited,Nifty 50
DHUNINV,Dhunseri Investments Limited,Nifty Financial Services
DIACABS,Diamond Power Infrastructure Limited,Nifty Energy
DIAMINESQ,Diamines & Chemicals Limited,Nifty 50
DIAMONDYD,Prataap Snacks Limited,Nifty 50
DICIND,DIC India Limited,Nifty 50
DIFFNKG,Diffusion Engineers Limited,Nifty 50
DIGIDRIVE,Digidrive Distributors Limited,Nifty 50
DIGISPICE,DiGiSPICE Technologies Limited,Nifty IT
DIGITIDE,Digitide Solutions Limited,Nifty IT
